
X [ m ], Y [ m ], Z [ m ], Velocity u [ m s^-1 ]
5.87500000e+00, 5.94999981e+00, -1.02500000e+01, 0.00000000e+00
5.87500000e+00, 5.93585825e+00, -1.02500000e+01, 2.46714926e+00
5.87500000e+00, 5.92171669e+00, -1.02500000e+01, 2.47803712e+00
5.87500000e+00, 5.90757513e+00, -1.02500000e+01, 2.45724392e+00
5.87500000e+00, 5.89343357e+00, -1.02500000e+01, 2.42360592e+00
5.87500000e+00, 5.87929201e+00, -1.02500000e+01, 2.35451412e+00
5.87500000e+00, 5.86515045e+00, -1.02500000e+01, 2.30821729e+00
5.87500000e+00, 5.85100889e+00, -1.02500000e+01, 2.26482010e+00
5.87500000e+00, 5.83686733e+00, -1.02500000e+01, 2.21899319e+00
5.87500000e+00, 5.82272577e+00, -1.02500000e+01, 2.17256498e+00
5.87500000e+00, 5.80858421e+00, -1.02500000e+01, 2.12535262e+00
5.87500000e+00, 5.79444265e+00, -1.02500000e+01, 2.07258129e+00
5.87500000e+00, 5.78030109e+00, -1.02500000e+01, 2.00232315e+00
5.87500000e+00, 5.76615953e+00, -1.02500000e+01, 1.93206692e+00
5.87500000e+00, 5.75201797e+00, -1.02500000e+01, 1.86181140e+00
5.87500000e+00, 5.73787642e+00, -1.02500000e+01, 1.79176879e+00
5.87500000e+00, 5.72373486e+00, -1.02500000e+01, 1.72664261e+00
5.87500000e+00, 5.70959330e+00, -1.02500000e+01, 1.66337752e+00
5.87500000e+00, 5.69545174e+00, -1.02500000e+01, 1.59873497e+00
5.87500000e+00, 5.68131018e+00, -1.02500000e+01, 1.52637577e+00
5.87500000e+00, 5.66716862e+00, -1.02500000e+01, 1.45306325e+00
5.87500000e+00, 5.65302706e+00, -1.02500000e+01, 1.37874413e+00
5.87500000e+00, 5.63888550e+00, -1.02500000e+01, 1.30442262e+00
5.87500000e+00, 5.62474394e+00, -1.02500000e+01, 1.22873402e+00
5.87500000e+00, 5.61060238e+00, -1.02500000e+01, 1.15049291e+00
5.87500000e+00, 5.59646082e+00, -1.02500000e+01, 1.07316136e+00
5.87500000e+00, 5.58231926e+00, -1.02500000e+01, 9.96644020e-01
5.87500000e+00, 5.56817770e+00, -1.02500000e+01, 9.20127928e-01
5.87500000e+00, 5.55403614e+00, -1.02500000e+01, 8.43611896e-01
